scenario,Group,GA,mean_reliability,q10_reliability,min_reliability,BMI_interval,N,detection_failure_risk,delay_risk,minimax_risk
no_error,1,10.0,0.7752745970157634,0.7315871360597498,0.5014240084179216,"[20.70, 32.09]",158,0.2247254029842366,0.0,0.2247254029842366
no_error,1,10.1,0.7784519861687058,0.7361051331867996,0.5071673632966015,"[20.70, 32.09]",158,0.2215480138312942,0.0,0.2215480138312942
no_error,1,10.2,0.7816049019407789,0.7405859692050886,0.5129125480273399,"[20.70, 32.09]",158,0.21839509805922108,0.0,0.21839509805922108
no_error,1,10.3,0.7847331247519506,0.7450290821760851,0.5186583508017308,"[20.70, 32.09]",158,0.21526687524804944,0.0,0.21526687524804944
no_error,1,10.4,0.787836442799917,0.7494339275088742,0.5244035582046089,"[20.70, 32.09]",158,0.21216355720008295,0.0,0.21216355720008295
no_error,1,10.5,0.7909146523241306,0.7537999798967274,0.5301469550286244,"[20.70, 32.09]",158,0.2090853476758694,0.0,0.2090853476758694
no_error,1,10.6,0.793967557529075,0.7581267326342543,0.5358873250395743,"[20.70, 32.09]",158,0.206032442470925,0.0,0.206032442470925
no_error,1,10.7,0.7969949706339997,0.7624136975971245,0.5416234525097462,"[20.70, 32.09]",158,0.2030050293660003,0.0,0.2030050293660003
no_error,1,10.8,0.7999967120382518,0.7666604065455525,0.5473541221270753,"[20.70, 32.09]",158,0.20000328796174816,0.0,0.20000328796174816
no_error,1,10.9,0.8029726101122018,0.7708664106095559,0.553078121080542,"[20.70, 32.09]",158,0.19702738988779822,0.0,0.19702738988779822
no_error,1,11.0,0.8059225014561997,0.7750312790160754,0.5587942390470885,"[20.70, 32.09]",158,0.1940774985438003,0.0,0.1940774985438003
no_error,1,11.1,0.8088461947009162,0.7791545424678799,0.5645011611012981,"[20.70, 32.09]",158,0.19115380529908377,0.0,0.19115380529908377
no_error,1,11.2,0.811743344827531,0.7832354965589483,0.5701971250678967,"[20.70, 32.09]",158,0.18825665517246903,0.0,0.18825665517246903
no_error,1,11.3,0.8146132546545992,0.7872730505296158,0.5758797935125145,"[20.70, 32.09]",158,0.18538674534540078,0.0,0.18538674534540078
no_error,1,11.4,0.8174548492269356,0.7912657225169488,0.5815462573596438,"[20.70, 32.09]",158,0.18254515077306444,0.0,0.18254515077306444
no_error,1,11.5,0.8202667131009419,0.7952116837839994,0.5871930725703673,"[20.70, 32.09]",158,0.1797332868990581,0.0,0.1797332868990581
no_error,1,11.6,0.8230471624806893,0.7991088420662955,0.5928163525334248,"[20.70, 32.09]",158,0.17695283751931068,0.0,0.17695283751931068
no_error,1,11.7,0.8257943074971797,0.8029549105153408,0.5984118485095062,"[20.70, 32.09]",158,0.17420569250282025,0.0,0.17420569250282025
no_error,1,11.8,0.8285060881529701,0.8067474518600117,0.6039749938905313,"[20.70, 32.09]",158,0.1714939118470299,0.0,0.1714939118470299
no_error,1,11.9,0.8311803212063562,0.8104839309490225,0.6095009704152075,"[20.70, 32.09]",158,0.1688196787936438,0.0,0.1688196787936438
no_error,1,12.0,0.8338147552821513,0.814161776358129,0.6149847920339317,"[20.70, 32.09]",158,0.16618524471784868,0.0,0.16618524471784868
no_error,1,12.1,0.8364071024007677,0.8177784178887932,0.6204213511750274,"[20.70, 32.09]",158,0.16359289759923235,0.006666666666666643,0.16359289759923235
no_error,1,12.2,0.8389550709326772,0.8213313241124296,0.6258054680055128,"[20.70, 32.09]",158,0.16104492906732282,0.013333333333333286,0.16104492906732282
no_error,1,12.3,0.8414564058450277,0.8248180442500107,0.6311319648889311,"[20.70, 32.09]",158,0.15854359415497232,0.02000000000000005,0.15854359415497232
no_error,1,12.4,0.8439089142187026,0.8282362397553082,0.6363957049355423,"[20.70, 32.09]",158,0.15609108578129738,0.02666666666666669,0.15609108578129738
no_error,1,12.5,0.8463104894894713,0.8315837092722261,0.6415916401123549,"[20.70, 32.09]",158,0.1536895105105287,0.03333333333333333,0.1536895105105287
no_error,1,12.6,0.8486591377297572,0.8348584153328699,0.6467148644436881,"[20.70, 32.09]",158,0.1513408622702428,0.03999999999999997,0.1513408622702428
no_error,1,12.7,0.8509529945531423,0.838058504807885,0.6517606468868877,"[20.70, 32.09]",158,0.14904700544685767,0.04666666666666662,0.14904700544685767
no_error,1,12.8,0.8531903412782312,0.8406603718417792,0.6567244675785009,"[20.70, 32.09]",158,0.14680965872176877,0.05333333333333338,0.14680965872176877
no_error,1,12.9,0.8553696231216877,0.8436646315526217,0.661602061780808,"[20.70, 32.09]",158,0.14463037687831226,0.060000000000000026,0.14463037687831226
no_error,1,13.0,0.8574894559181258,0.8466579584020972,0.6663894392374917,"[20.70, 32.09]",158,0.14251054408187425,0.06666666666666667,0.14251054408187425
no_error,1,13.1,0.8595486335180642,0.8495706536550438,0.6710829090777696,"[20.70, 32.09]",158,0.1404513664819358,0.0733333333333333,0.1404513664819358
no_error,1,13.2,0.8615461425300555,0.8524019718681775,0.6756791117931746,"[20.70, 32.09]",158,0.13845385746994454,0.07999999999999995,0.13845385746994454
no_error,1,13.3,0.863481160944044,0.8551514038376912,0.6801750315270281,"[20.70, 32.09]",158,0.13651883905595597,0.08666666666666671,0.13651883905595597
no_error,1,13.4,0.8653530572846141,0.8578186749128813,0.6845680063063061,"[20.70, 32.09]",158,0.1346469427153859,0.09333333333333335,0.1346469427153859
no_error,1,13.5,0.8671614010672244,0.8604037515489098,0.6888557461654738,"[20.70, 32.09]",158,0.1328385989327756,0.1,0.1328385989327756
no_error,1,13.6,0.8689059601568707,0.8629068337715633,0.6930363490290775,"[20.70, 32.09]",158,0.13109403984312928,0.10666666666666665,0.13109403984312928
no_error,1,13.7,0.8705866922152108,0.865328342634699,0.6971082855891975,"[20.70, 32.09]",158,0.1294133077847892,0.11333333333333329,0.1294133077847892
no_error,1,13.8,0.8722037483079854,0.8676689208977811,0.7010704148347487,"[20.70, 32.09]",158,0.12779625169201458,0.12000000000000005,0.12779625169201458
no_error,1,13.9,0.8737574756892956,0.8695837399906103,0.7049219970991334,"[20.70, 32.09]",158,0.12624252431070437,0.12666666666666668,0.12666666666666668
no_error,1,14.0,0.8752484021152586,0.8715465933047161,0.7086626659909241,"[20.70, 32.09]",158,0.12475159788474144,0.13333333333333333,0.13333333333333333
no_error,1,14.1,0.8766772335639255,0.872752234082338,0.7122924338646024,"[20.70, 32.09]",158,0.12332276643607454,0.13999999999999999,0.13999999999999999
no_error,1,14.2,0.8780448613141992,0.8740639534012193,0.7158117038111157,"[20.70, 32.09]",158,0.12195513868580077,0.1466666666666666,0.1466666666666666
no_error,1,14.3,0.8793523456322819,0.8755377511519563,0.719221241185882,"[20.70, 32.09]",158,0.12064765436771807,0.15333333333333338,0.15333333333333338
