scenario,Group,GA,mean_reliability,q10_reliability,min_reliability,detection_failure_risk,delay_risk,minimax_risk
no_error,1,10.0,0.742350743674903,0.6328736208342787,0.4651173546341948,0.25764925632509705,0.0,0.25764925632509705
no_error,1,10.1,0.7463919057670946,0.6391173130398595,0.4720783416608697,0.2536080942329054,0.0,0.2536080942329054
no_error,1,10.2,0.7504032445941794,0.6453279310108474,0.47905324226113055,0.2495967554058206,0.0,0.2495967554058206
no_error,1,10.3,0.7543841906241896,0.6515038937782456,0.48603991434611443,0.2456158093758104,0.0,0.2456158093758104
no_error,1,10.4,0.7583341895413941,0.6576436420533849,0.49303621066603665,0.2416658104586059,0.0,0.2416658104586059
no_error,1,10.5,0.7622527038678484,0.6634365999208971,0.5000399851773707,0.23774729613215162,0.0,0.23774729613215162
no_error,1,10.6,0.7661392076447341,0.6678117952156511,0.5070490293787657,0.2338607923552659,0.0,0.2338607923552659
no_error,1,10.7,0.7699931976019935,0.6724376050220293,0.5140611375619701,0.23000680239800653,0.0,0.23000680239800653
no_error,1,10.8,0.7738141791449098,0.6775413216381477,0.5210740785271019,0.2261858208550902,0.0,0.2261858208550902
no_error,1,10.9,0.7776016808209155,0.6835997574458167,0.528085666055979,0.22239831917908448,0.0,0.22239831917908448
no_error,1,11.0,0.7813552437879098,0.6896128112837994,0.5350937003696554,0.21864475621209023,0.0,0.21864475621209023
no_error,1,11.1,0.7850743359052909,0.6955787805180197,0.5420956008007348,0.21492566409470915,0.0,0.21492566409470915
no_error,1,11.2,0.7887580607891362,0.7014949608121613,0.5487169084572765,0.21124193921086376,0.0,0.21124193921086376
no_error,1,11.3,0.7924051156765631,0.7074434733301016,0.5547684500628651,0.20759488432343687,0.0,0.20759488432343687
no_error,1,11.4,0.7960138206767532,0.7120761261004505,0.5608067656698813,0.2039861793232468,0.0,0.2039861793232468
no_error,1,11.5,0.7995821608545672,0.7164812913621118,0.5668277461860092,0.20041783914543276,0.0,0.20041783914543276
no_error,1,11.6,0.8031078678029466,0.720741051300206,0.5728271241164666,0.19689213219705337,0.0,0.19689213219705337
no_error,1,11.7,0.806588479656681,0.7248545189341096,0.578799978141185,0.193411520343319,0.0,0.193411520343319
no_error,1,11.8,0.8100213915185434,0.7287423332062292,0.584741197182218,0.18997860848145665,0.0,0.18997860848145665
no_error,1,11.9,0.813403898744771,0.7327044093584881,0.5906454613291533,0.18659610125522896,0.0,0.18659610125522896
no_error,1,12.0,0.8167332572393486,0.7374161265458433,0.5965071485800922,0.18326674276065136,0.0,0.18326674276065136
no_error,1,12.1,0.820006725898141,0.7419596700118538,0.6023205395559377,0.17999327410185895,0.006666666666666643,0.17999327410185895
no_error,1,12.2,0.8232215935620814,0.7461073802330157,0.6080798949304258,0.17677840643791864,0.013333333333333286,0.17677840643791864
no_error,1,12.3,0.8263752271985854,0.7497443670325422,0.613779455614878,0.17362477280141464,0.02000000000000005,0.17362477280141464
no_error,1,12.4,0.8294650978553979,0.7530632258960932,0.6194134662263238,0.1705349021446021,0.02666666666666669,0.1705349021446021
no_error,1,12.5,0.8324888059143147,0.7568855956999884,0.6249763276500435,0.16751119408568527,0.03333333333333333,0.16751119408568527
no_error,1,12.6,0.8354441116611512,0.760809429744893,0.6304626362587633,0.16455588833884882,0.03999999999999997,0.16455588833884882
no_error,1,12.7,0.8383289470345084,0.7646761016731044,0.6358669619149279,0.16167105296549156,0.04666666666666662,0.16167105296549156
